episode,score,mean_score_20,loss,epsilon
1,0,0.0,0.0,1.0
2,0,0.0,0.0,1.0
3,0,0.0,0.0,1.0
4,0,0.0,0.0,1.0
5,0,0.0,0.0,1.0
6,0,0.0,0.0,1.0
7,0,0.0,0.5182786501551929,0.9626946373158061
8,0,0.0,0.11414471066867311,0.9398537314349842
9,1,0.1111111111111111,0.024571219850212146,0.8692973418545467
10,0,0.1,0.05734595453197306,0.8597827393003539
11,0,0.09090909090909091,0.003170330310240388,0.8537822855004553
12,0,0.08333333333333333,0.11364657579300304,0.8360310213470206
13,0,0.07692307692307693,0.0624204039673454,0.8244023623910088
14,0,0.07142857142857142,0.033101143726312066,0.8104990823150267
15,0,0.06666666666666667,0.03190725622698665,0.8016280363938307
16,0,0.0625,0.07517633176288538,0.7771467460721305
17,1,0.11764705882352941,0.06894784420728683,0.7436772821951526
18,0,0.1111111111111111,0.059131998033262786,0.7289441910343799
19,0,0.10526315789473684,0.10108626574011785,0.7188050416738131
20,0,0.1,0.0815419006976299,0.7130746876787832
21,0,0.1,0.061614349149749614,0.7017506636113059
22,0,0.1,0.04618352897126566,0.6940698870404746
23,0,0.1,0.07846440711560157,0.6762478484398523
24,1,0.15,0.04954454331244859,0.6641783033340387
25,0,0.15,0.07935614756901156,0.6497187878551962
26,0,0.15,0.04591957625001669,0.6336692476264985
27,0,0.15,0.07143377745524049,0.6137030113095173
28,0,0.15,0.06777824009768665,0.6015448579979431
29,1,0.15,0.06996567894450643,0.5884489059896089
30,0,0.15,0.07111116424202919,0.5855125400671733
31,1,0.2,0.09409700127434917,0.5670636698003494
32,2,0.3,0.07246940670644536,0.548098260578011
33,1,0.35,0.13058897447359713,0.506444656987029
34,0,0.35,0.1001493272117593,0.5009015368198305
35,2,0.45,0.18905282321457678,0.48803959497362914
36,0,0.45,0.16313318137756802,0.4774147130068658
37,1,0.45,0.18729677104524203,0.47077417846163544
38,0,0.45,0.15973863771392238,0.46237188898344517
39,0,0.45,0.2292172422303873,0.45457413613233344
40,1,0.5,0.21327005326747894,0.4464609819793951
41,1,0.55,0.2260964841327884,0.44157439301269474
42,0,0.55,0.2778307590633631,0.438054137254317
43,0,0.55,0.19400782679969614,0.43325956258749154
44,1,0.55,0.23314307257533073,0.4298055931223125
45,0,0.55,0.20682739652693272,0.4212906564199442
46,0,0.55,0.25523368275628006,0.40924274195045723
47,1,0.6,0.1916864685980337,0.4035504360971442
48,1,0.65,0.22699645526231604,0.3850133314162377
49,0,0.6,0.24963499924966268,0.38232630991428457
50,1,0.65,0.20268940379222233,0.3654947603053141
51,0,0.6,0.15247579211635248,0.36041096100926434
